date,local_time,latitude,longitude,location,magnitude_ml,epicentre
2015-05-21,14:56:00,27.93,85.46,POINT(85.46 27.93),4,Nuwakot
2015-05-21,14:11:00,27.85,86.32,POINT(86.32 27.85),4.2,Dolakha
2015-05-20,14:47:00,27.52,85.26,POINT(85.26 27.52),4.4,Kathmandu/Lalitput/Makawanpur
2015-05-19,16:44:00,27.92,86.04,POINT(86.04 27.92),4.2,Sindhupalchowk
2015-05-19,11:29:00,27.9,85.99,POINT(85.99 27.9),4,Sindhupalchowk
2015-05-19,04:34:00,27.66,86.03,POINT(86.03 27.66),4.3,Dolakha
2015-05-18,18:27:00,28.11,84.88,POINT(84.88 28.11),4.1,Dhading / Gorkha
2015-05-29,15:44:00,28,84.98,POINT(84.98 28),5.2,Dhading
2015-05-18,11:24:00,27.69,86.26,POINT(86.26 27.69),4,Dolakha
2015-05-18,09:11:00,27.71,86.07,POINT(86.07 27.71),4.2,Dolakha
2015-05-17,20:40:00,27.84,86.24,POINT(86.24 27.84),4.4,Dolakha
2015-05-17,11:30:00,27.48,85.87,POINT(85.87 27.48),4.6,Ramechhap
2015-05-17,05:00:00,27.73,86.06,POINT(86.06 27.73),4.4,Dolakha
2015-05-16,20:44:00,27.64,86.14,POINT(86.14 27.64),4.3,Dolakha
2015-05-16,17:19:00,27.6,86.26,POINT(86.26 27.6),5.5,Dolakha
2015-05-16,09:35:00,27.45,85.31,POINT(85.31 27.45),4.2,Lalitpur/Makawanapur
2015-05-16,09:24:00,27.7,85.85,POINT(85.85 27.7),4.2,Sindhupalchowk
2015-05-16,06:31:00,28.13,84.89,POINT(84.89 28.13),4,Gorkha/Dhading
2015-05-29,12:30:00,28.01,84.84,POINT(84.84 28.01),4.8,Gorkha/Dhading
2015-05-16,06:11:00,27.97,85.48,POINT(85.48 27.97),4,Nuwakot
2015-05-16,04:38:00,27.66,86.09,POINT(86.09 27.66),4.1,Dolakha
2015-05-16,04:28:00,27.65,86.12,POINT(86.12 27.65),4.1,Dolakha
2015-05-16,02:15:00,28.07,84.7,POINT(84.7 28.07),4,Gorkha
2015-05-15,22:58:00,27.74,86.17,POINT(86.17 27.74),4,Dolakha
2015-05-15,15:09:00,27.61,86.2,POINT(86.2 27.61),4.5,Dolakha
2015-05-15,10:51:00,27.92,84.84,POINT(84.84 27.92),4,Dhading
2015-05-15,07:27:00,27.93,84.84,POINT(84.84 27.93),5.5,Dhading
2015-05-15,04:06:00,27.69,86.08,POINT(86.08 27.69),4.3,Dolakha
2015-05-15,03:38:00,27.63,86.25,POINT(86.25 27.63),4.1,Dolakha
2015-05-29,08:30:00,28.17,84.72,POINT(84.72 28.17),4,Gorkha
2015-05-14,21:40:00,27.84,85.84,POINT(85.84 27.84),4,Sindhupalchowk
2015-05-14,20:50:00,27.71,86.04,POINT(86.04 27.71),4,Dolakha
2015-05-14,20:21:00,28.06,85.35,POINT(85.35 28.06),4.5,Rasuwa
2015-05-14,19:43:00,27.75,86.14,POINT(86.14 27.75),4,Dolakha
2015-05-14,15:20:00,27.62,86.09,POINT(86.09 27.62),4.2,Dolakha
2015-05-14,09:06:00,27.83,86.15,POINT(86.15 27.83),4.5,Dolakha
2015-05-14,08:52:00,27.8,85.82,POINT(85.82 27.8),4,Sindupalchok
2015-05-14,03:23:00,27.67,86.08,POINT(86.08 27.67),5,Dolakha
2015-05-14,03:13:00,27.66,86.07,POINT(86.07 27.66),4.1,Dolakha
2015-05-14,00:16:00,27.92,86.31,POINT(86.31 27.92),4.3,Dolakha
2015-05-29,05:20:00,28.07,84.94,POINT(84.94 28.07),4.2,Dhading
2015-05-13,21:36:00,27.7,86.15,POINT(86.15 27.7),4.1,Dolakha
2015-05-13,21:21:00,27.64,85.7,POINT(85.7 27.64),4,Kavrepalanchok
2015-05-13,16:44:00,27.63,86.17,POINT(86.17 27.63),4.5,Dolakha
2015-05-13,15:37:00,27.85,86.29,POINT(86.29 27.85),4,Dolakha
2015-05-13,14:30:00,27.6,86.16,POINT(86.16 27.6),4.3,Dolakha
2015-05-13,12:38:00,27.68,86.17,POINT(86.17 27.68),5.1,Dolakha
2015-05-13,12:34:00,27.84,86.25,POINT(86.25 27.84),4.6,Dolakha
2015-05-13,12:22:00,27.79,86.07,POINT(86.07 27.79),4.8,Dolakha/Sindhupalchowk
2015-05-13,12:11:00,27.69,86.11,POINT(86.11 27.69),4.7,Sindhupalchok
2015-05-13,10:33:00,27.79,86.19,POINT(86.19 27.79),4.6,Dolakha
2015-05-29,00:37:00,27.82,86.34,POINT(86.34 27.82),4.2,Dolakha
2015-05-13,08:28:00,27.75,86.25,POINT(86.25 27.75),4.4,Dolakha
2015-05-13,08:08:00,27.65,86.18,POINT(86.18 27.65),4.4,Dolakha
2015-05-13,04:38:00,27.82,86.47,POINT(86.47 27.82),4.3,Dolakha
2015-05-13,03:42:00,27.85,85.92,POINT(85.92 27.85),4.2,Sindhupalchok
2015-05-13,03:10:00,27.91,84.82,POINT(84.82 27.91),5.9,Dhading
2015-05-13,02:07:00,27.68,85.3,POINT(85.3 27.68),4.2,Kathmandu
2015-05-12,23:13:00,27.58,86.41,POINT(86.41 27.58),4.3,Dolakha/Ramechhap
2015-05-12,22:17:00,27.68,86.04,POINT(86.04 27.68),4.2,Dolakha
2015-05-12,21:13:00,27.97,86.45,POINT(86.45 27.97),4.8,Dolakha/Tibet
2015-05-12,20:44:00,28.03,86.36,POINT(86.36 28.03),4.1,Dolakha/Tibet
